WHITEHEAD	776	44373	721	43310	1063	2.5%	-55
PRUITT	777	44365	736	42463	1902	4.5%	-41
KENT	778	44325	733	42597	1728	4.1%	-45
CONWAY	779	44320	719	43395	925	2.1%	-60
MCKEE	780	44137	717	43555	582	1.3%	-63
BARR	781	44130	738	42432	1698	4.0%	-43
DAVID	782	44040	818	38659	5381	13.9%	36
DEJESUS	783	44038	1002	31803	12235	38.5%	219
MARIN	784	43904	1003	31786	12118	38.1%	219
BERGER	785	43851	716	43556	295	0.7%	-69
MCINTYRE	786	43842	742	42335	1507	3.6%	-44
BLANKENSHIP	787	43830	731	42663	1167	2.7%	-56
GAINES	788	43821	739	42369	1452	3.4%	-49
PALACIOS	789	43798	1057	30231	13567	44.9%	268
CUEVAS	790	43701	993	32015	11686	36.5%	203
BARTLETT	791	43648	735	42512	1136	2.7%	-56
DURHAM	792	43635	740	42365	1270	3.0%	-52
DORSEY	793	43631	763	41104	2527	6.1%	-30
MCCALL	794	43483	761	41231	2252	5.5%	-33
ODONNELL	795	43460	728	42802	658	1.5%	-67
STEIN	796	43389	720	43331	58	0.1%	-76
BROWNING	797	43329	732	42642	687	1.6%	-65
STOUT	798	43305	730	42669	636	1.5%	-68
LOWERY	799	43278	752	41670	1608	3.9%	-47
SLOAN	800	43261	743	42281	980	2.3%	-57
MCLEAN	801	43260	768	40871	2389	5.8%	-33
HENDRICKS	802	43197	749	41879	1318	3.1%	-53
CALHOUN	803	43180	757	41452	1728	4.2%	-46
SEXTON	804	43133	747	42080	1053	2.5%	-57
CHUNG	805	43110	870	36422	6688	18.4%	65
GENTRY	806	43027	741	42357	670	1.6%	-65
HULL	807	43018	754	41656	1362	3.3%	-53
DUARTE	808	42983	997	31896	11087	34.8%	189
ELLISON	809	42827	756	41459	1368	3.3%	-53
NIELSEN	810	42773	765	41007	1766	4.3%	-45
GILLESPIE	811	42693	758	41393	1300	3.1%	-53
BUCK	812	42639	737	42441	198	0.5%	-75
MIDDLETON	813	42578	771	40708	1870	4.6%	-42
SELLERS	814	42577	755	41561	1016	2.4%	-59
LEBLANC	815	42575	767	40923	1652	4.0%	-48
ESPARZA	816	42559	971	32772	9787	29.9%	155
HARDIN	817	42469	753	41664	805	1.9%	-64
BRADSHAW	818	42465	769	40794	1671	4.1%	-49
MCINTOSH	819	42379	777	40453	1926	4.8%	-42
HOWE	820	42265	775	40555	1710	4.2%	-45
LIVINGSTON	821	42103	766	40964	1139	2.8%	-55
FROST	822	42015	774	40582	1433	3.5%	-48
GLASS	823	41802	770	40724	1078	2.6%	-53
MORSE	824	41774	762	41112	662	1.6%	-62
KNAPP	825	41771	760	41267	504	1.2%	-65
HERMAN	826	41750	746	42091	-341	-0.8%	-80
STARK	827	41735	751	41863	-128	-0.3%	-76
BRAVO	828	41700	1165	27576	14124	51.2%	337
NOBLE	829	41667	784	40217	1450	3.6%	-45
SPEARS	830	41665	785	40203	1462	3.6%	-45
WEEKS	831	41565	764	41053	512	1.2%	-67
CORONA	832	41553	1081	29525	12028	40.7%	249
FREDERICK	833	41394	791	39909	1485	3.7%	-42
BUCKLEY	834	41348	772	40706	642	1.6%	-62
MCFARLAND	835	41300	782	40244	1056	2.6%	-53
HEBERT	836	41275	781	40283	992	2.5%	-55
ENRIQUEZ	837	41271	1072	29886	11385	38.1%	235
HICKMAN	838	41163	783	40224	939	2.3%	-55
QUINTERO	839	41158	1070	29952	11206	37.4%	231
RANDOLPH	840	41129	792	39742	1387	3.5%	-48
SCHAEFER	841	41063	773	40663	400	1.0%	-68
WALLS	842	41025	801	39166	1859	4.7%	-41
TREJO	843	41021	1172	27383	13638	49.8%	329
HOUSE	844	41000	776	40477	523	1.3%	-68
REILLY	845	40884	780	40310	574	1.4%	-65
PENNINGTON	846	40854	779	40339	515	1.3%	-67
MICHAEL	847	40736	798	39369	1367	3.5%	-49
CONRAD	848	40707	786	40102	605	1.5%	-62
GILES	849	40598	805	39002	1596	4.1%	-44
BENJAMIN	850	40590	868	36439	4151	11.4%	18
CROSBY	851	40563	811	38844	1719	4.4%	-40
FITZPATRICK	852	40449	794	39501	948	2.4%	-58
DONOVAN	853	40410	799	39270	1140	2.9%	-54
MAYS	854	40408	809	38914	1494	3.8%	-45
MAHONEY	855	40397	795	39440	957	2.4%	-60
VALENTINE	856	40395	834	37669	2726	7.2%	-22
RAYMOND	857	40275	825	38158	2117	5.5%	-32
MEDRANO	858	40261	1091	29386	10875	37.0%	233
HAHN	859	40250	822	38354	1896	4.9%	-37
MCMILLAN	860	40237	810	38896	1341	3.4%	-50
SMALL	861	40212	681	45850	-5638	-12.3%	-180
BENTLEY	862	40193	814	38714	1479	3.8%	-48
FELIX	863	40165	1011	31631	8534	27.0%	148
PECK	864	40055	796	39432	623	1.6%	-68
LUCERO	865	39986	945	33922	6064	17.9%	80
BOYLE	866	39921	802	39141	780	2.0%	-64
HANNA	867	39890	887	35599	4291	12.1%	20
PACE	868	39879	807	38975	904	2.3%	-61
RUSH	869	39802	839	37470	2332	6.2%	-30
HURLEY	870	39796	808	38971	825	2.1%	-62
HARDING	871	39787	823	38340	1447	3.8%	-48
MCCONNELL	872	39754	800	39203	551	1.4%	-72
BERNAL	873	39693	1089	29418	10275	34.9%	216
NAVA	874	39670	1212	26463	13207	49.9%	338
AYERS	875	39623	812	38836	787	2.0%	-63
EVERETT	876	39593	816	38702	891	2.3%	-60
VENTURA	877	39580	1196	26769	12811	47.9%	319
AVERY	878	39564	840	37440	2124	5.7%	-38
PUGH	879	39559	817	38691	868	2.2%	-62
MAYER	880	39555	803	39111	444	1.1%	-77
